England Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/01/2020.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   16.1   12.2    3.3   14.8    6.3    6.0    9.0   12.4   11.5   16.1   10.7   12.8     ---   24.5   27.4   38.3   131.3
1962   15.8    7.3    8.4   11.0   12.6    4.2    8.5   12.4   13.0    5.8   11.7   11.3    35.8   32.0   25.1   30.5   122.0
1963    6.6    6.5   14.5   14.6   11.2   12.6    9.5   15.8    9.6   10.7   19.5    6.3    24.4   40.3   37.8   39.7   137.3
1964    6.2    7.1   11.1   12.4   10.0   11.5    7.8    8.3    6.8    9.1    9.7   13.3    19.6   33.6   27.6   25.6   113.3
1965   15.2    4.9   11.7   13.1   12.2   10.2   13.8   11.3   14.5    5.2   15.3   18.8    33.4   37.0   35.4   35.0   146.3
1966   11.0   15.6    8.0   15.6   11.3   11.9   12.0   11.6    7.3   16.0   13.5   17.4    45.4   34.8   35.5   36.9   151.3
1967   11.7   10.9    9.4    8.8   19.8    5.1    8.4   11.6   14.4   18.3   11.2   13.0    39.9   38.0   25.1   43.9   142.6
1968   12.3    7.6   10.0   10.8   12.2   11.9    9.5   10.7   15.5   11.9   11.0   10.1    32.9   33.0   32.2   38.4   133.6
1969   14.4   12.2   10.2   10.1   17.5    8.4    6.2   10.8    6.4    4.5   15.2   13.9    36.6   37.7   25.3   26.1   129.6
1970   17.9   14.7   13.0   15.0    5.2    6.7   12.0    8.7    9.7    9.4   18.5   10.9    46.6   33.3   27.4   37.6   141.8
1971   15.2    6.5   10.7    5.4    8.9   11.3    5.9   12.9    4.9    8.0   11.6    7.1    32.7   25.1   30.1   24.4   108.5
1972   16.4   13.0   12.7   11.7   14.2   13.8    8.2    5.8    4.5    5.1   13.1   12.8    36.4   38.6   27.8   22.8   131.3
1973    8.3    8.3    5.5   10.6   13.3    5.7    9.9    7.3    9.9    9.0    8.1   12.0    29.3   29.4   22.9   27.0   107.8
1974   16.5   13.7    9.5    3.0    8.1    9.7   11.0   12.0   17.6   14.6   16.8   12.8    42.2   20.6   32.6   49.0   145.3
1975   17.9    6.3   13.6   14.1    6.9    4.0    9.6    7.4   12.5    5.9   12.0    6.5    37.1   34.6   21.0   30.4   116.7
1976    9.6    8.3    7.7    4.2   11.9    3.6    5.0    2.9   14.0   20.9   12.5   13.1    24.4   23.8   11.5   47.3   113.6
1977   14.9   18.4   14.6   11.5    9.1   10.9    5.2   11.5    7.0   10.7   14.7   12.9    46.4   35.2   27.6   32.4   141.5
1978   15.5   13.6   14.8    9.9    6.8   10.0   11.4   11.5    8.7    4.4    8.3   19.4    42.0   31.5   32.9   21.4   134.3
1979   13.3    9.5   18.0   13.3   15.7    7.7    5.3   12.1    6.6   11.3   13.8   16.8    42.2   47.0   25.0   31.7   143.3
1980   10.8   13.4   15.5    3.8    5.0   15.6   11.0   10.3   10.0   15.1   13.0   12.9    40.9   24.3   36.9   38.1   136.4
