Scotland Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/01/2020.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   15.4   16.7   14.3   15.6    9.6   13.5   13.6   18.6   18.0   21.8   15.0   14.5     ---   39.4   45.6   54.8   186.5
1962   22.3   15.6   11.6   11.7   13.9   12.2   10.2   20.8   18.1   12.5   15.5   18.0    52.5   37.3   43.2   46.1   182.6
1963    9.0    6.1   18.4   14.6   18.4   13.8   13.5   17.9   16.5   18.0   20.4   10.7    33.1   51.4   45.2   54.9   177.3
1964   11.7    9.5    9.0   17.3   15.0   12.9   13.6   16.8   17.6   13.7   15.6   19.6    31.9   41.3   43.3   47.0   172.4
1965   17.7    9.0   12.1   16.7   15.0   16.2   13.8   15.5   17.9   12.5   15.2   21.5    46.3   43.8   45.5   45.5   183.0
1966   11.3   15.6   19.1   10.8   16.2   16.3   13.5   12.7   14.9   17.7   18.1   24.2    48.4   46.0   42.5   50.7   190.3
1967   17.8   16.5   22.4   13.0   18.3   11.9   16.0   13.5   16.1   24.1   16.4   18.4    58.5   53.8   41.4   56.6   204.5
1968   18.8   12.7   17.6   11.8   13.6   11.8   12.7    9.7   14.3   19.2   11.3   13.0    49.9   43.0   34.2   44.8   166.5
1969   20.0   12.7    9.3   12.7   16.8   12.2   13.6   13.3   14.1   16.2   19.5   16.0    45.7   38.8   39.0   49.7   176.2
1970   16.6   16.5   17.2   17.1   13.2    8.8   18.5   11.6   19.0   18.7   22.4   15.2    49.1   47.6   38.9   60.1   194.9
1971   17.0   13.0   15.2    8.9   13.2   13.4   10.3   13.6   10.8   16.1   19.0   16.2    45.2   37.3   37.2   45.9   166.7
1972   18.4   14.2   13.0   16.0   14.6   17.7   10.8   11.7    7.0    9.7   19.2   16.4    48.8   43.5   40.2   35.9   168.6
1973   14.8   15.6   10.9   13.4   15.9   12.0   12.5   15.0   13.6   13.2   17.9   20.6    46.7   40.3   39.5   44.7   175.4
1974   23.1   16.9   11.7    3.2   13.3   11.8   17.8   15.7   20.5   17.7   21.0   25.4    60.6   28.2   45.3   59.2   198.1
1975   24.7    8.0   11.9   17.8    7.6    9.4   14.6   11.2   19.4   10.7   16.4   15.7    58.0   37.3   35.3   46.6   167.6
