Wales Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/01/2020.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   18.9   15.4    5.6   19.2    7.0    7.9   10.0   14.0   15.4   21.4   13.5   14.2     ---   31.9   31.9   50.4   162.6
1962   19.6   10.0    9.9   13.6   14.5    9.8   11.0   16.1   15.6    8.5   14.2   14.2    43.7   37.9   36.9   38.4   156.9
1963    6.0    7.4   17.5   16.0   14.7   15.5   12.2   16.9   12.6   15.3   23.8    6.6    27.6   48.3   44.6   51.8   164.6
1964    8.0    9.4   11.7   13.3   12.8   11.3    9.9   10.6    9.7   14.6   14.1   18.0    24.0   37.7   31.7   38.4   143.3
1965   16.9    4.8   13.9   14.2   13.1   14.0   14.6   13.6   16.3    8.5   16.1   24.5    39.8   41.2   42.2   40.9   170.6
1966   12.4   19.5   12.8   17.4   15.2   16.1   12.7   12.5    9.0   18.5   17.1   22.8    56.4   45.4   41.3   44.6   186.0
1967   16.0   12.8   12.6    8.2   23.3    6.8   12.5   13.7   19.2   26.1   16.1   17.8    51.5   44.2   33.1   61.3   185.1
1968   18.0    8.1   12.5   12.9   13.4   12.9    7.9   11.1   17.4   15.9   12.6   12.5    43.8   38.8   31.8   45.8   155.1
1969   20.4   15.9    9.3   11.6   21.7    9.7    5.9   12.2    8.6    7.5   19.7   16.6    48.8   42.6   27.8   35.8   159.0
1970   20.9   17.7   18.5   18.2    6.9   10.0   14.2   11.2   12.6   17.0   23.1   12.7    55.2   43.7   35.4   52.7   183.0
1971   19.3    9.6   12.8    6.5   10.1   13.1    7.3   16.6    6.6   11.6   15.7   10.0    41.6   29.4   36.9   33.9   139.1
1972   17.5   16.0   13.8   13.5   17.4   17.8    9.1    8.6    4.6    8.0   17.8   18.0    43.5   44.7   35.6   30.4   162.2
1973   11.6   13.1    9.2   11.9   15.8    6.5   11.9   10.4   12.9   11.9   15.2   16.7    42.7   36.8   28.7   40.0   147.0
1974   22.7   16.4   10.2    3.2   11.4   10.9   15.2   13.9   23.0   18.1   20.9   21.0    55.9   24.8   40.0   62.0   186.9
1975   22.9    9.1   14.2   15.7    5.8    4.4   12.4    9.5   15.5    9.3   15.7   10.2    53.0   35.7   26.3   40.5   144.6
1976   14.5   12.0   10.8    5.2   16.3    4.7    7.2    2.6   16.4   22.4   16.6   14.4    36.6   32.3   14.4   55.4   143.0
1977   18.3   21.5   16.9   15.1   10.0   12.5    6.7   11.2   11.2   16.2   20.2   17.6    54.1   42.0   30.5   47.7   177.6
1978   20.0   15.2   18.9   11.5    8.0   12.4   12.7   12.5   11.2    8.1   15.6   20.5    52.9   38.5   37.6   34.9   166.8
1979   16.6    9.6   20.0   14.7   17.7    7.2    5.5   15.3   11.8   17.4   19.3   21.0    46.7   52.4   27.9   48.5   176.1
1980   13.9   17.5   19.0    3.4    6.4   17.5   11.0   15.9   15.6   19.5   16.2   20.4    52.4   28.8   44.3   51.3   176.2
1981   16.1   11.0   21.6    7.8   19.0   10.1   10.2    5.8   18.1   22.6   16.0   15.7    47.5   48.4   26.2   56.7   174.0
1982   15.9   13.1   17.4    6.4    8.0   15.5    6.8   16.8   12.3   18.4   23.5   19.0    44.7   31.8   39.2   54.2   173.1
1983   20.4    7.6   17.9   18.0   21.4    9.2    4.7    7.1   16.4   17.1    7.3   17.3    46.9   57.3   21.1   40.8   164.5
1984   24.0   11.4    8.3    3.7    8.1    7.6    5.9   10.0   18.0   18.1   19.7   19.2    52.7   20.2   23.5   55.9   154.2
1985   13.6    6.9   14.9   14.3   12.0   14.8   13.1   23.3    9.6    8.3   15.4   21.2    39.7   41.3   51.3   33.4   167.7
1986   22.7    2.1   17.1   15.6   18.4    7.9   12.3   16.0    3.0   15.5   20.6   23.5    46.0   51.1   36.2   39.1   174.7
1987    8.0   11.9   17.7   12.4   10.2   17.3   10.5    9.9   14.6   21.0   14.2   13.5    43.3   40.3   37.7   49.8   161.0
1988   26.1   13.1   20.9    8.5   11.6    8.1   21.1   15.6   12.8   15.8    9.1   11.8    52.6   40.9   44.8   37.7   174.3
1989   13.2   17.3   18.1   13.4    5.1    9.4    5.3   12.3    9.0   18.5   11.3   15.0    42.3   36.6   27.0   38.8   147.9
1990   25.2   21.1   10.1   11.4    5.2   16.2    7.6   10.2   10.8   17.6   13.5   16.5    61.3   26.6   34.0   41.9   165.3
1991   15.7   10.7   16.1   13.3    3.4   18.0   13.0    8.1   10.7   15.4   17.2    8.6    42.9   32.8   39.0   43.3   150.2
1992    7.1   13.9   22.0   15.7    9.6    6.5   13.5   19.9   16.6   15.2   22.8   12.7    29.6   47.3   39.9   54.6   175.5
1993   23.7    5.5    8.5   15.9   15.3   10.2   14.2   11.2   14.4   11.5   11.9   26.3    41.8   39.7   35.6   37.7   168.5
1994   22.7   17.3   21.6   16.2   11.1    9.3    9.9   13.7   17.9   14.7   14.3   21.4    66.3   48.8   32.9   47.0   190.1
1995   23.4   21.9   16.8    5.9   10.6    5.6    9.3    3.8   15.4   11.8   15.4   12.2    66.7   33.4   18.7   42.6   152.2
1996   12.6   13.8   10.6   13.1   11.6    8.5    9.0   13.1    6.2   19.4   20.7    8.7    38.6   35.3   30.6   46.3   147.3
1997    4.4   19.7   10.4    5.6   14.9   14.9   10.8   15.7    8.8   10.0   19.9   16.7    32.8   30.9   41.4   38.8   151.8
1998   17.3    8.6   13.2   21.3    7.3   20.1   14.4   10.2   15.6   20.6   17.7   20.7    42.6   41.8   44.8   53.9   187.2
1999   22.5   15.4   13.6   17.2   12.4   11.9    5.2   14.2   17.9   14.2   14.3   25.4    58.6   43.1   31.4   46.4   184.2
2000   13.0   20.5   10.4   17.8   11.9   13.1   11.7   14.9   17.2   25.2   25.4   21.3    58.9   40.0   39.8   67.8   202.3
